product_id,product_type,product_name,size,colour,quantity,description,price
65,Shirt,Dress,XS,violet,63,"A violet coloured, XS sized, Dress Shirt",104.0
66,Shirt,Dress,S,violet,69,"A violet coloured, S sized, Dress Shirt",104.0
67,Shirt,Dress,M,violet,41,"A violet coloured, M sized, Dress Shirt",104.0
68,Shirt,Dress,L,violet,74,"A violet coloured, L sized, Dress Shirt",104.0
69,Shirt,Dress,XL,violet,77,"A violet coloured, XL sized, Dress Shirt",104.0
70,Shirt,Flannel,XS,red,42,"A red coloured, XS sized, Flannel Shirt",118.0
71,Shirt,Flannel,S,red,59,"A red coloured, S sized, Flannel Shirt",118.0
72,Shirt,Flannel,M,red,68,"A red coloured, M sized, Flannel Shirt",118.0
73,Shirt,Flannel,L,red,77,"A red coloured, L sized, Flannel Shirt",118.0
74,Shirt,Flannel,XL,red,72,"A red coloured, XL sized, Flannel Shirt",118.0
75,Shirt,Flannel,XS,orange,42,"A orange coloured, XS sized, Flannel Shirt",118.0
77,Shirt,Flannel,M,orange,68,"A orange coloured, M sized, Flannel Shirt",118.0
78,Shirt,Flannel,L,orange,59,"A orange coloured, L sized, Flannel Shirt",118.0
79,Shirt,Flannel,XL,orange,50,"A orange coloured, XL sized, Flannel Shirt",118.0
80,Shirt,Flannel,XS,yellow,41,"A yellow coloured, XS sized, Flannel Shirt",118.0
81,Shirt,Flannel,S,yellow,42,"A yellow coloured, S sized, Flannel Shirt",118.0
82,Shirt,Flannel,M,yellow,59,"A yellow coloured, M sized, Flannel Shirt",118.0
83,Shirt,Flannel,L,yellow,80,"A yellow coloured, L sized, Flannel Shirt",118.0
84,Shirt,Flannel,XL,yellow,72,"A yellow coloured, XL sized, Flannel Shirt",118.0
85,Shirt,Flannel,XS,green,55,"A green coloured, XS sized, Flannel Shirt",118.0
86,Shirt,Flannel,S,green,57,"A green coloured, S sized, Flannel Shirt",118.0
87,Shirt,Flannel,M,green,66,"A green coloured, M sized, Flannel Shirt",118.0
88,Shirt,Flannel,L,green,72,"A green coloured, L sized, Flannel Shirt",118.0
89,Shirt,Flannel,XL,green,77,"A green coloured, XL sized, Flannel Shirt",118.0
90,Shirt,Flannel,XS,blue,62,"A blue coloured, XS sized, Flannel Shirt",118.0
91,Shirt,Flannel,S,blue,43,"A blue coloured, S sized, Flannel Shirt",118.0
92,Shirt,Flannel,M,blue,73,"A blue coloured, M sized, Flannel Shirt",118.0
93,Shirt,Flannel,L,blue,44,"A blue coloured, L sized, Flannel Shirt",118.0
94,Shirt,Flannel,XL,blue,61,"A blue coloured, XL sized, Flannel Shirt",118.0
95,Shirt,Flannel,XS,indigo,46,"A indigo coloured, XS sized, Flannel Shirt",118.0
96,Shirt,Flannel,S,indigo,74,"A indigo coloured, S sized, Flannel Shirt",118.0
97,Shirt,Flannel,M,indigo,69,"A indigo coloured, M sized, Flannel Shirt",118.0
98,Shirt,Flannel,L,indigo,62,"A indigo coloured, L sized, Flannel Shirt",118.0
99,Shirt,Flannel,XL,indigo,57,"A indigo coloured, XL sized, Flannel Shirt",118.0
100,Shirt,Flannel,XS,violet,72,"A violet coloured, XS sized, Flannel Shirt",118.0
101,Shirt,Flannel,S,violet,70,"A violet coloured, S sized, Flannel Shirt",118.0
102,Shirt,Flannel,M,violet,71,"A violet coloured, M sized, Flannel Shirt",118.0
103,Shirt,Flannel,L,violet,76,"A violet coloured, L sized, Flannel Shirt",118.0
104,Shirt,Flannel,XL,violet,43,"A violet coloured, XL sized, Flannel Shirt",118.0
105,Shirt,Denim,XS,red,52,"A red coloured, XS sized, Denim Shirt",92.0
106,Shirt,Denim,S,red,57,"A red coloured, S sized, Denim Shirt",92.0
107,Shirt,Denim,M,red,49,"A red coloured, M sized, Denim Shirt",92.0
108,Shirt,Denim,L,red,52,"A red coloured, L sized, Denim Shirt",92.0
109,Shirt,Denim,XL,red,63,"A red coloured, XL sized, Denim Shirt",92.0
110,Shirt,Denim,XS,orange,45,"A orange coloured, XS sized, Denim Shirt",92.0
111,Shirt,Denim,S,orange,69,"A orange coloured, S sized, Denim Shirt",92.0
112,Shirt,Denim,M,orange,50,"A orange coloured, M sized, Denim Shirt",92.0
113,Shirt,Denim,L,orange,45,"A orange coloured, L sized, Denim Shirt",92.0
114,Shirt,Denim,XL,orange,67,"A orange coloured, XL sized, Denim Shirt",92.0
115,Shirt,Denim,XS,yellow,54,"A yellow coloured, XS sized, Denim Shirt",92.0
116,Shirt,Denim,S,yellow,75,"A yellow coloured, S sized, Denim Shirt",92.0
117,Shirt,Denim,M,yellow,67,"A yellow coloured, M sized, Denim Shirt",92.0
118,Shirt,Denim,L,yellow,75,"A yellow coloured, L sized, Denim Shirt",92.0
119,Shirt,Denim,XL,yellow,74,"A yellow coloured, XL sized, Denim Shirt",92.0
120,Shirt,Denim,XS,green,66,"A green coloured, XS sized, Denim Shirt",92.0
121,Shirt,Denim,S,green,49,"A green coloured, S sized, Denim Shirt",92.0
122,Shirt,Denim,M,green,66,"A green coloured, M sized, Denim Shirt",92.0
123,Shirt,Denim,L,green,71,"A green coloured, L sized, Denim Shirt",92.0
124,Shirt,Denim,XL,green,52,"A green coloured, XL sized, Denim Shirt",92.0
125,Shirt,Denim,XS,blue,76,"A blue coloured, XS sized, Denim Shirt",92.0
126,Shirt,Denim,S,blue,47,"A blue coloured, S sized, Denim Shirt",92.0
127,Shirt,Denim,M,blue,58,"A blue coloured, M sized, Denim Shirt",92.0
128,Shirt,Denim,L,blue,45,"A blue coloured, L sized, Denim Shirt",92.0
129,Shirt,Denim,XL,blue,73,"A blue coloured, XL sized, Denim Shirt",92.0
130,Shirt,Denim,XS,indigo,79,"A indigo coloured, XS sized, Denim Shirt",92.0
131,Shirt,Denim,S,indigo,69,"A indigo coloured, S sized, Denim Shirt",92.0
132,Shirt,Denim,M,indigo,56,"A indigo coloured, M sized, Denim Shirt",92.0
133,Shirt,Denim,L,indigo,58,"A indigo coloured, L sized, Denim Shirt",92.0
134,Shirt,Denim,XL,indigo,58,"A indigo coloured, XL sized, Denim Shirt",92.0
135,Shirt,Denim,XS,violet,73,"A violet coloured, XS sized, Denim Shirt",92.0
136,Shirt,Denim,S,violet,54,"A violet coloured, S sized, Denim Shirt",92.0
137,Shirt,Denim,M,violet,55,"A violet coloured, M sized, Denim Shirt",92.0
138,Shirt,Denim,L,violet,78,"A violet coloured, L sized, Denim Shirt",92.0
139,Shirt,Denim,XL,violet,73,"A violet coloured, XL sized, Denim Shirt",92.0
140,Shirt,Linen,XS,red,61,"A red coloured, XS sized, Linen Shirt",91.0
141,Shirt,Linen,S,red,67,"A red coloured, S sized, Linen Shirt",91.0
142,Shirt,Linen,M,red,78,"A red coloured, M sized, Linen Shirt",91.0
143,Shirt,Linen,L,red,80,"A red coloured, L sized, Linen Shirt",91.0
144,Shirt,Linen,XL,red,47,"A red coloured, XL sized, Linen Shirt",91.0
145,Shirt,Linen,XS,orange,70,"A orange coloured, XS sized, Linen Shirt",91.0
146,Shirt,Linen,S,orange,42,"A orange coloured, S sized, Linen Shirt",91.0
147,Shirt,Linen,M,orange,42,"A orange coloured, M sized, Linen Shirt",91.0
148,Shirt,Linen,L,orange,73,"A orange coloured, L sized, Linen Shirt",91.0
149,Shirt,Linen,XL,orange,59,"A orange coloured, XL sized, Linen Shirt",91.0
150,Shirt,Linen,XS,yellow,55,"A yellow coloured, XS sized, Linen Shirt",91.0
151,Shirt,Linen,S,yellow,60,"A yellow coloured, S sized, Linen Shirt",91.0
152,Shirt,Linen,M,yellow,59,"A yellow coloured, M sized, Linen Shirt",91.0
153,Shirt,Linen,L,yellow,72,"A yellow coloured, L sized, Linen Shirt",91.0
154,Shirt,Linen,XL,yellow,54,"A yellow coloured, XL sized, Linen Shirt",91.0
155,Shirt,Linen,XS,green,49,"A green coloured, XS sized, Linen Shirt",91.0
156,Shirt,Linen,S,green,58,"A green coloured, S sized, Linen Shirt",91.0
157,Shirt,Linen,M,green,42,"A green coloured, M sized, Linen Shirt",91.0
158,Shirt,Linen,L,green,72,"A green coloured, L sized, Linen Shirt",91.0
159,Shirt,Linen,XL,green,51,"A green coloured, XL sized, Linen Shirt",91.0
160,Shirt,Linen,XS,blue,53,"A blue coloured, XS sized, Linen Shirt",91.0
161,Shirt,Linen,S,blue,77,"A blue coloured, S sized, Linen Shirt",91.0
162,Shirt,Linen,M,blue,58,"A blue coloured, M sized, Linen Shirt",91.0
163,Shirt,Linen,L,blue,70,"A blue coloured, L sized, Linen Shirt",91.0
164,Shirt,Linen,XL,blue,47,"A blue coloured, XL sized, Linen Shirt",91.0
165,Shirt,Linen,XS,indigo,70,"A indigo coloured, XS sized, Linen Shirt",91.0
166,Shirt,Linen,S,indigo,72,"A indigo coloured, S sized, Linen Shirt",91.0
167,Shirt,Linen,M,indigo,72,"A indigo coloured, M sized, Linen Shirt",91.0
168,Shirt,Linen,L,indigo,75,"A indigo coloured, L sized, Linen Shirt",91.0
169,Shirt,Linen,XL,indigo,66,"A indigo coloured, XL sized, Linen Shirt",91.0
170,Shirt,Linen,XS,violet,56,"A violet coloured, XS sized, Linen Shirt",91.0
171,Shirt,Linen,S,violet,44,"A violet coloured, S sized, Linen Shirt",91.0
172,Shirt,Linen,M,violet,44,"A violet coloured, M sized, Linen Shirt",91.0
173,Shirt,Linen,L,violet,70,"A violet coloured, L sized, Linen Shirt",91.0
174,Shirt,Linen,XL,violet,73,"A violet coloured, XL sized, Linen Shirt",91.0
175,Shirt,Camp Collared,XS,red,77,"A red coloured, XS sized, Camp Collared Shirt",98.0
176,Shirt,Camp Collared,S,red,67,"A red coloured, S sized, Camp Collared Shirt",98.0
177,Shirt,Camp Collared,M,red,64,"A red coloured, M sized, Camp Collared Shirt",98.0
178,Shirt,Camp Collared,L,red,52,"A red coloured, L sized, Camp Collared Shirt",98.0
179,Shirt,Camp Collared,XL,red,79,"A red coloured, XL sized, Camp Collared Shirt",98.0
180,Shirt,Camp Collared,XS,orange,52,"A orange coloured, XS sized, Camp Collared Shirt",98.0
181,Shirt,Camp Collared,S,orange,62,"A orange coloured, S sized, Camp Collared Shirt",98.0
182,Shirt,Camp Collared,M,orange,65,"A orange coloured, M sized, Camp Collared Shirt",98.0
183,Shirt,Camp Collared,L,orange,63,"A orange coloured, L sized, Camp Collared Shirt",98.0
184,Shirt,Camp Collared,XL,orange,48,"A orange coloured, XL sized, Camp Collared Shirt",98.0
185,Shirt,Camp Collared,XS,yellow,55,"A yellow coloured, XS sized, Camp Collared Shirt",98.0
186,Shirt,Camp Collared,S,yellow,66,"A yellow coloured, S sized, Camp Collared Shirt",98.0
187,Shirt,Camp Collared,M,yellow,49,"A yellow coloured, M sized, Camp Collared Shirt",98.0
188,Shirt,Camp Collared,L,yellow,71,"A yellow coloured, L sized, Camp Collared Shirt",98.0
189,Shirt,Camp Collared,XL,yellow,44,"A yellow coloured, XL sized, Camp Collared Shirt",98.0
190,Shirt,Camp Collared,XS,green,66,"A green coloured, XS sized, Camp Collared Shirt",98.0
191,Shirt,Camp Collared,S,green,60,"A green coloured, S sized, Camp Collared Shirt",98.0
192,Shirt,Camp Collared,M,green,41,"A green coloured, M sized, Camp Collared Shirt",98.0
193,Shirt,Camp Collared,L,green,80,"A green coloured, L sized, Camp Collared Shirt",98.0
194,Shirt,Camp Collared,XL,green,61,"A green coloured, XL sized, Camp Collared Shirt",98.0
195,Shirt,Camp Collared,XS,blue,47,"A blue coloured, XS sized, Camp Collared Shirt",98.0
196,Shirt,Camp Collared,S,blue,75,"A blue coloured, S sized, Camp Collared Shirt",98.0
197,Shirt,Camp Collared,M,blue,65,"A blue coloured, M sized, Camp Collared Shirt",98.0
198,Shirt,Camp Collared,L,blue,56,"A blue coloured, L sized, Camp Collared Shirt",98.0
199,Shirt,Camp Collared,XL,blue,51,"A blue coloured, XL sized, Camp Collared Shirt",98.0
200,Shirt,Camp Collared,XS,indigo,64,"A indigo coloured, XS sized, Camp Collared Shirt",98.0
201,Shirt,Camp Collared,S,indigo,50,"A indigo coloured, S sized, Camp Collared Shirt",98.0
202,Shirt,Camp Collared,M,indigo,52,"A indigo coloured, M sized, Camp Collared Shirt",98.0
203,Shirt,Camp Collared,L,indigo,72,"A indigo coloured, L sized, Camp Collared Shirt",98.0
204,Shirt,Camp Collared,XL,indigo,42,"A indigo coloured, XL sized, Camp Collared Shirt",98.0
205,Shirt,Camp Collared,XS,violet,72,"A violet coloured, XS sized, Camp Collared Shirt",98.0
206,Shirt,Camp Collared,S,violet,80,"A violet coloured, S sized, Camp Collared Shirt",98.0
207,Shirt,Camp Collared,M,violet,41,"A violet coloured, M sized, Camp Collared Shirt",98.0
208,Shirt,Camp Collared,L,violet,42,"A violet coloured, L sized, Camp Collared Shirt",98.0
209,Shirt,Camp Collared,XL,violet,40,"A violet coloured, XL sized, Camp Collared Shirt",98.0
210,Shirt,Chambray,XS,red,48,"A red coloured, XS sized, Chambray Shirt",106.0
211,Shirt,Chambray,S,red,72,"A red coloured, S sized, Chambray Shirt",106.0
212,Shirt,Chambray,M,red,48,"A red coloured, M sized, Chambray Shirt",106.0
213,Shirt,Chambray,L,red,44,"A red coloured, L sized, Chambray Shirt",106.0
214,Shirt,Chambray,XL,red,42,"A red coloured, XL sized, Chambray Shirt",106.0
215,Shirt,Chambray,XS,orange,76,"A orange coloured, XS sized, Chambray Shirt",106.0
216,Shirt,Chambray,S,orange,69,"A orange coloured, S sized, Chambray Shirt",106.0
217,Shirt,Chambray,M,orange,43,"A orange coloured, M sized, Chambray Shirt",106.0
218,Shirt,Chambray,L,orange,44,"A orange coloured, L sized, Chambray Shirt",106.0
219,Shirt,Chambray,XL,orange,57,"A orange coloured, XL sized, Chambray Shirt",106.0
220,Shirt,Chambray,XS,yellow,57,"A yellow coloured, XS sized, Chambray Shirt",106.0
221,Shirt,Chambray,S,yellow,40,"A yellow coloured, S sized, Chambray Shirt",106.0
222,Shirt,Chambray,M,yellow,62,"A yellow coloured, M sized, Chambray Shirt",106.0
223,Shirt,Chambray,L,yellow,53,"A yellow coloured, L sized, Chambray Shirt",106.0
224,Shirt,Chambray,XL,yellow,53,"A yellow coloured, XL sized, Chambray Shirt",106.0
225,Shirt,Chambray,XS,green,50,"A green coloured, XS sized, Chambray Shirt",106.0
226,Shirt,Chambray,S,green,63,"A green coloured, S sized, Chambray Shirt",106.0
227,Shirt,Chambray,M,green,56,"A green coloured, M sized, Chambray Shirt",106.0
229,Shirt,Chambray,XL,green,58,"A green coloured, XL sized, Chambray Shirt",106.0
230,Shirt,Chambray,XS,blue,76,"A blue coloured, XS sized, Chambray Shirt",106.0
231,Shirt,Chambray,S,blue,61,"A blue coloured, S sized, Chambray Shirt",106.0
232,Shirt,Chambray,M,blue,66,"A blue coloured, M sized, Chambray Shirt",106.0
233,Shirt,Chambray,L,blue,69,"A blue coloured, L sized, Chambray Shirt",106.0
234,Shirt,Chambray,XL,blue,43,"A blue coloured, XL sized, Chambray Shirt",106.0
235,Shirt,Chambray,XS,indigo,75,"A indigo coloured, XS sized, Chambray Shirt",106.0
236,Shirt,Chambray,S,indigo,59,"A indigo coloured, S sized, Chambray Shirt",106.0
237,Shirt,Chambray,M,indigo,62,"A indigo coloured, M sized, Chambray Shirt",106.0
238,Shirt,Chambray,L,indigo,79,"A indigo coloured, L sized, Chambray Shirt",106.0
239,Shirt,Chambray,XL,indigo,61,"A indigo coloured, XL sized, Chambray Shirt",106.0
240,Shirt,Chambray,XS,violet,47,"A violet coloured, XS sized, Chambray Shirt",106.0
241,Shirt,Chambray,S,violet,52,"A violet coloured, S sized, Chambray Shirt",106.0
242,Shirt,Chambray,M,violet,72,"A violet coloured, M sized, Chambray Shirt",106.0
243,Shirt,Chambray,L,violet,53,"A violet coloured, L sized, Chambray Shirt",106.0
244,Shirt,Chambray,XL,violet,54,"A violet coloured, XL sized, Chambray Shirt",106.0
245,Shirt,Polo,XS,red,40,"A red coloured, XS sized, Polo Shirt",95.0
246,Shirt,Polo,S,red,60,"A red coloured, S sized, Polo Shirt",95.0
247,Shirt,Polo,M,red,70,"A red coloured, M sized, Polo Shirt",95.0
248,Shirt,Polo,L,red,72,"A red coloured, L sized, Polo Shirt",95.0
249,Shirt,Polo,XL,red,76,"A red coloured, XL sized, Polo Shirt",95.0
250,Shirt,Polo,XS,orange,75,"A orange coloured, XS sized, Polo Shirt",95.0
251,Shirt,Polo,S,orange,78,"A orange coloured, S sized, Polo Shirt",95.0
252,Shirt,Polo,M,orange,67,"A orange coloured, M sized, Polo Shirt",95.0
253,Shirt,Polo,L,orange,63,"A orange coloured, L sized, Polo Shirt",95.0
254,Shirt,Polo,XL,orange,43,"A orange coloured, XL sized, Polo Shirt",95.0
255,Shirt,Polo,XS,yellow,79,"A yellow coloured, XS sized, Polo Shirt",95.0
256,Shirt,Polo,S,yellow,77,"A yellow coloured, S sized, Polo Shirt",95.0
257,Shirt,Polo,M,yellow,52,"A yellow coloured, M sized, Polo Shirt",95.0
258,Shirt,Polo,L,yellow,46,"A yellow coloured, L sized, Polo Shirt",95.0
259,Shirt,Polo,XL,yellow,46,"A yellow coloured, XL sized, Polo Shirt",95.0
260,Shirt,Polo,XS,green,45,"A green coloured, XS sized, Polo Shirt",95.0
261,Shirt,Polo,S,green,71,"A green coloured, S sized, Polo Shirt",95.0
262,Shirt,Polo,M,green,62,"A green coloured, M sized, Polo Shirt",95.0
263,Shirt,Polo,L,green,68,"A green coloured, L sized, Polo Shirt",95.0
264,Shirt,Polo,XL,green,61,"A green coloured, XL sized, Polo Shirt",95.0
265,Shirt,Polo,XS,blue,56,"A blue coloured, XS sized, Polo Shirt",95.0
266,Shirt,Polo,S,blue,76,"A blue coloured, S sized, Polo Shirt",95.0
267,Shirt,Polo,M,blue,49,"A blue coloured, M sized, Polo Shirt",95.0
268,Shirt,Polo,L,blue,77,"A blue coloured, L sized, Polo Shirt",95.0
269,Shirt,Polo,XL,blue,70,"A blue coloured, XL sized, Polo Shirt",95.0
270,Shirt,Polo,XS,indigo,47,"A indigo coloured, XS sized, Polo Shirt",95.0
271,Shirt,Polo,S,indigo,50,"A indigo coloured, S sized, Polo Shirt",95.0
272,Shirt,Polo,M,indigo,62,"A indigo coloured, M sized, Polo Shirt",95.0
273,Shirt,Polo,L,indigo,60,"A indigo coloured, L sized, Polo Shirt",95.0
274,Shirt,Polo,XL,indigo,56,"A indigo coloured, XL sized, Polo Shirt",95.0
275,Shirt,Polo,XS,violet,67,"A violet coloured, XS sized, Polo Shirt",95.0
276,Shirt,Polo,S,violet,43,"A violet coloured, S sized, Polo Shirt",95.0
277,Shirt,Polo,M,violet,77,"A violet coloured, M sized, Polo Shirt",95.0
278,Shirt,Polo,L,violet,76,"A violet coloured, L sized, Polo Shirt",95.0
279,Shirt,Polo,XL,violet,79,"A violet coloured, XL sized, Polo Shirt",95.0
280,Shirt,Cuban Collar,XS,red,56,"A red coloured, XS sized, Cuban Collar Shirt",105.0
281,Shirt,Cuban Collar,S,red,59,"A red coloured, S sized, Cuban Collar Shirt",105.0
282,Shirt,Cuban Collar,M,red,53,"A red coloured, M sized, Cuban Collar Shirt",105.0
283,Shirt,Cuban Collar,L,red,45,"A red coloured, L sized, Cuban Collar Shirt",105.0
284,Shirt,Cuban Collar,XL,red,65,"A red coloured, XL sized, Cuban Collar Shirt",105.0
285,Shirt,Cuban Collar,XS,orange,62,"A orange coloured, XS sized, Cuban Collar Shirt",105.0
286,Shirt,Cuban Collar,S,orange,50,"A orange coloured, S sized, Cuban Collar Shirt",105.0
287,Shirt,Cuban Collar,M,orange,49,"A orange coloured, M sized, Cuban Collar Shirt",105.0
288,Shirt,Cuban Collar,L,orange,65,"A orange coloured, L sized, Cuban Collar Shirt",105.0
289,Shirt,Cuban Collar,XL,orange,49,"A orange coloured, XL sized, Cuban Collar Shirt",105.0
290,Shirt,Cuban Collar,XS,yellow,78,"A yellow coloured, XS sized, Cuban Collar Shirt",105.0
291,Shirt,Cuban Collar,S,yellow,41,"A yellow coloured, S sized, Cuban Collar Shirt",105.0
292,Shirt,Cuban Collar,M,yellow,49,"A yellow coloured, M sized, Cuban Collar Shirt",105.0
293,Shirt,Cuban Collar,L,yellow,77,"A yellow coloured, L sized, Cuban Collar Shirt",105.0
294,Shirt,Cuban Collar,XL,yellow,76,"A yellow coloured, XL sized, Cuban Collar Shirt",105.0
295,Shirt,Cuban Collar,XS,green,63,"A green coloured, XS sized, Cuban Collar Shirt",105.0
296,Shirt,Cuban Collar,S,green,58,"A green coloured, S sized, Cuban Collar Shirt",105.0
297,Shirt,Cuban Collar,M,green,45,"A green coloured, M sized, Cuban Collar Shirt",105.0
298,Shirt,Cuban Collar,L,green,58,"A green coloured, L sized, Cuban Collar Shirt",105.0
299,Shirt,Cuban Collar,XL,green,60,"A green coloured, XL sized, Cuban Collar Shirt",105.0
300,Shirt,Cuban Collar,XS,blue,56,"A blue coloured, XS sized, Cuban Collar Shirt",105.0
301,Shirt,Cuban Collar,S,blue,62,"A blue coloured, S sized, Cuban Collar Shirt",105.0
302,Shirt,Cuban Collar,M,blue,55,"A blue coloured, M sized, Cuban Collar Shirt",105.0
303,Shirt,Cuban Collar,L,blue,65,"A blue coloured, L sized, Cuban Collar Shirt",105.0
304,Shirt,Cuban Collar,XL,blue,73,"A blue coloured, XL sized, Cuban Collar Shirt",105.0
305,Shirt,Cuban Collar,XS,indigo,50,"A indigo coloured, XS sized, Cuban Collar Shirt",105.0
306,Shirt,Cuban Collar,S,indigo,41,"A indigo coloured, S sized, Cuban Collar Shirt",105.0
